Date,Total Pos, Total Long,Total Short,Dollar PnL,Cumulative PnL,Total Market Value,Net Market Value 
19900201,0,0,0,0,0,0,0
19900202,0,0,0,0,0,0,0
19900205,0,0,0,0,0,0,0
19900206,0,0,0,0,0,0,0
19900207,0,0,0,0,0,0,0
19900208,0,0,0,0,0,0,0
19900209,0,0,0,0,0,0,0
19900212,0,0,0,0,0,0,0
19900213,0,0,0,0,0,0,0
19900214,0,0,0,0,0,0,0
19900215,0,0,0,0,0,0,0
19900216,0,0,0,0,0,0,0
19900220,0,0,0,0,0,0,0
19900221,0,0,0,0,0,0,0
19900222,0,0,0,0,0,0,0
19900223,0,0,0,0,0,0,0
19900226,0,0,0,0,0,0,0
19900227,0,0,0,0,0,0,0
19900228,0,0,0,0,0,0,0
19900301,0,0,0,0,0,0,0
19900302,36900,145500,108600,8922,561344,4.09475e+07,1.44582e+06
19900305,54000,168900,110200,-4057,887302,1.20834e+08,2.09572e+06
19900306,77200,190400,95300,48540,5.86185e+06,2.16316e+08,2.92111e+06
19900307,97400,206600,86800,-15719,4.38487e+06,3.06105e+08,3.62164e+06
19900308,130500,229600,72500,49287,9.82852e+06,4.56551e+08,4.76552e+06
19900309,161000,244100,65700,-31727,5.71457e+06,5.78702e+08,5.60165e+06
19900312,187900,254700,56200,26237,7.67805e+06,7.32389e+08,6.35742e+06
19900313,194900,250300,55700,-15306,6.18766e+06,7.70138e+08,6.48991e+06
19900314,207500,259200,54800,14104,8.32935e+06,8.2266e+08,6.68664e+06
19900315,206700,254200,64000,42854,1.25248e+07,8.49586e+08,6.85225e+06
19900316,207800,244500,54600,79408,2.21775e+07,8.53453e+08,6.93174e+06
19900319,206200,246200,56400,46888,2.91315e+07,8.60371e+08,7.10724e+06
19900320,212500,238100,46900,-40288,2.50799e+07,8.87159e+08,7.3089e+06
19900321,209200,241500,53700,-22157,2.19662e+07,8.64486e+08,6.99711e+06
19900322,186400,230500,65600,-80029,1.42363e+07,7.60698e+08,6.34191e+06
19900323,182300,211000,80700,46700,1.94972e+07,7.525e+08,6.27619e+06
